Title,Hours Viewed,id,vote_average,vote_count,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,poster_path,genres,visualizaciones,budget_millions,budget_category
42,1600000,109410,7.162,1655,2013-04-12,95020213,128.0,40000000,en,42,"In 1946, Branch Rickey (Harrison Ford), owner of the Brooklyn Dodgers, took a stand against Major League Baseball's infamous colour line when he signed Jackie Robinson (Chadwick Boseman) to the team. The deal put both men in the crosshairs of the public, the press and even other players. Facing unabashed racism from every side, Robinson was forced to demonstrate tremendous courage and let his talent on the field wins over fans and his teammates – silencing his critics and forever changing the world by changing the game of baseball.",21.509,/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,Drama,12500.0,40.0,Medio
47 Meters Down: Uncaged,16600000,480105,5.714,1284,2019-08-15,47582563,90.0,12000000,en,47 Meters Down: Uncaged,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.",19.705,/g4z7mDmJmx23vsVg6XNWcnXb6gc.jpg,"Horror, Drama, Adventure",184444.44444444444,12.0,Medio
50 First Dates,1200000,1824,6.844,6705,2004-02-13,196482882,99.0,75000000,en,50 First Dates,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",36.466,/lzUI2Cg7OMfcUNv3f7MywYNBjs6.jpg,"Comedy, Romance",12121.212121212122,75.0,Alto
50 to 1,700000,197583,6.402,61,2014-03-21,1064454,110.0,10000000,en,50 to 1,"A misfit group of New Mexico cowboys find themselves on the journey of a lifetime when they learn their crooked-footed racehorse qualifies to run in the Kentucky Derby. Based on the true story of Mine That Bird, the cowboys must overcome impossible odds even before they reach Churchill Downs and the land of Kentucky's blue bloods.",5.555,/uIbniwxSlHyvGECiBMkTeWI0pib.jpg,"Comedy, Drama",6363.636363636364,10.0,Medio
6 Days,3700000,347984,6.012,642,2017-07-09,0,95.0,1500000,en,6 Days,"London, England, April 1980. Six terrorists assault the Embassy of Iran and take hostages. For six days, tense negotiations are held while the authorities decide whether a military squad should intervene.",12.597,/yRbC0uRj1RDmF0JLon83il2dkR0.jpg,"Action, Drama, History, Thriller",38947.36842105263,1.5,Bajo
6 Underground,38600000,509967,6.34,4358,2019-12-13,0,128.0,150000000,en,6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",30.14,/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,"Action, Comedy, Thriller",301562.5,150.0,Alto
65,1700000,700391,6.122,1653,2023-03-02,55000000,92.0,45000000,en,65,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",85.473,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,"Science Fiction, Action, Adventure",18478.260869565216,45.0,Medio
8,100000,1005501,5.5,2,2022-08-08,0,18.0,89,es,8,"After committing a murder in his apartment, Alejandro has to decide between discovering the body or pursuing a subject he has been searching for a long time. With the help of Gael, his partner, they will embark on a journey through the city in search of the man, which could lead to fatal consequences",0.6,/nOVSUUzFps03bmO3aqykqlKCcEv.jpg,Horror,5555.555555555556,8.9e-05,Bajo
8,100000,795248,0.0,0,2019-04-05,0,18.0,6000,en,8,"""8” is a narrative short film about a selfish billiard player that, while hustling for living, struggles to seduce a quiet woman pool master inside an isolated saloon in New Mexico.",0.7,/mcwez64Q9Z3WcraN1I8RVUw5Ra7.jpg,Romance,5555.555555555556,0.006,Bajo
8 Mile,9600000,65,7.124,6692,2002-11-08,242875078,111.0,41000000,en,8 Mile,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",36.179,/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,"Drama, Music",86486.48648648648,41.0,Medio
